anime,end,information,score,start
Katanagatari,2010,"|TV (12 eps)|Jan 2010 - Dec 2010|426,991 members|",8.37,2010
Bakemonogatari,2010,"|TV (15 eps)|Jul 2009 - Jun 2010|1,018,288 members|",8.36,2009
Kuroko no Basket 3rd Season,2015,"|TV (25 eps)|Jan 2015 - Jun 2015|480,271 members|",8.36,2015
Major: World Series,2012,"|OVA (2 eps)|Dec 2011 - Jan 2012|28,749 members|",8.36,2011
Mobile Suit Gundam: The Origin,2018,"|OVA (6 eps)|Apr 2015 - May 2018|49,567 members|",8.36,2015
One Outs,2009,"|TV (25 eps)|Oct 2008 - Apr 2009|176,414 members|",8.36,2008
Romeo no Aoi Sora,1995,"|TV (33 eps)|Jan 1995 - Dec 1995|35,633 members|",8.36,1995
Shinsekai yori,2013,"|TV (25 eps)|Sep 2012 - Mar 2013|599,541 members|",8.36,2012
Shirobako,2015,"|TV (24 eps)|Oct 2014 - Mar 2015|338,401 members|",8.36,2014
Natsume Yuujinchou: Itsuka Yuki no Hi ni,2014,"|OVA (1 eps)|Feb 2014 - Feb 2014|60,930 members|",8.35,2014
No Game No Life: Zero,2017,"|Movie (1 eps)|Jul 2017 - Jul 2017|574,965 members|",8.35,2017
Shelter,2016,"|Music (1 eps)|Oct 2016 - Oct 2016|257,884 members|",8.35,2016
Steins;Gate: Oukoubakko no Poriomania,2012,"|Special (1 eps)|Feb 2012 - Feb 2012|328,982 members|",8.35,2012
Dr. Stone,2019,"|TV (24 eps)|Jul 2019 - Dec 2019|833,246 members|",8.35,2019
Evangelion: 2.0 You Can (Not) Advance,2009,"|Movie (1 eps)|Jul 2009 - Jul 2009|336,581 members|",8.35,2009
Fate/Zero,2011,"|TV (13 eps)|Oct 2011 - Dec 2011|1,037,570 members|",8.35,2011
Kemono no Souja Erin,2009,"|TV (50 eps)|Jan 2009 - Dec 2009|67,333 members|",8.35,2009
Luo Xiao Hei Zhan Ji (Movie),2019,"|Movie (1 eps)|Sep 2019 - Sep 2019|6,548 members|",8.35,2019
Bakemono no Ko,2015,"|Movie (1 eps)|Jul 2015 - Jul 2015|293,846 members|",8.34,2015
Fate/stay night: Unlimited Blade Works 2nd Season,2015,"|TV (13 eps)|Apr 2015 - Jun 2015|570,539 members|",8.34,2015
Gintama: Shiroyasha Koutan,2008,"|Special (1 eps)|Sep 2008 - Sep 2008|51,778 members|",8.34,2008
K-On! Movie,2011,"|Movie (1 eps)|Dec 2011 - Dec 2011|227,879 members|",8.34,2011
Kino no Tabi: The Beautiful World,2003,"|TV (13 eps)|Apr 2003 - Jul 2003|216,550 members|",8.34,2003
Made in Abyss Movie 2: Hourou Suru Tasogare,2019,"|Movie (1 eps)|Jan 2019 - Jan 2019|55,921 members|",8.34,2019
Natsume Yuujinchou,2008,"|TV (13 eps)|Jul 2008 - Sep 2008|398,235 members|",8.34,2008
Natsume Yuujinchou Go Specials,2017,"|Special (2 eps)|Mar 2017 - Apr 2017|31,187 members|",8.33,2017
NHK ni Youkoso!,2006,"|TV (24 eps)|Jul 2006 - Dec 2006|532,282 members|",8.33,2006
